sCT ID	chromosome	5’ boundary of the cryptic zone	3’ boundary of the cryptic zone	cTSS	cdsEnd	txEnd	strand	host_gene	sCT expression in spt6-1004 (FPKM)	Log2 spt6-1004/WT FC	z score
YAL001C_crA	I	149146	148994	149070	147593	147520	-	YAL001C	37.8244981881599	0.718798238016408	28.1265094386765
YAL002W_crA	I	146247	146413	146330	147531	147597	+	YAL002W	52.3360491621068	0.863386861736918	28.0029744570405
YAL011W_crA	I	133388	133506	133447	134076	134108	+	YAL011W	27.8173084793972	0.282722853173504	15.8181364150819
YAL017W_crA	I	122730	122920	122825	124295	124446	+	YAL017W	67.7458346135856	0.712915259763831	26.6596643006067
YAL017W_crB	I	123090	123198	123144	124295	124446	+	YAL017W	59.6157436893584	1.25518918354722	26.6596643006067
YAL019W_crA	I	116340	116466	116403	118314	118314	+	YAL019W	33.3569646312077	0.101445662807715	18.4800704688294
YAL019W_crB	I	116739	116959	116849	118314	118314	+	YAL019W	55.813358681577	0.461544127951082	18.4800704688294
YAL021C_crA	I	111832	111528	111680	110845	110617	-	YAL021C	75.680596744661	0.233990779709683	20.1221637426156
YAL024C_crA	I	103085	102873	102979	101564	101481	-	YAL024C	50.7371954231564	1.05881205668133	32.3287466580095
YAL027W_crA	I	95131	95201	95166	95472	95542	+	YAL027W	19.5332846826448	0.798923653779017	15.9486824091051
YAL031C_crA	I	86063	85893	85978	84748	84737	-	YAL031C	39.633024224343	0.830640734074346	21.1759887214334
YAL034C_crA	I	81610	81558	81584	80709	80601	-	YAL034C	56.779560207666	1.69533125993651	18.3118990142381
YAL043C_crA	I	59696	59614	59655	58694	58609	-	YAL043C	49.1449643414641	0.776303447849097	18.6490020373121
YAL047C_crA	I	55846	55734	55790	54988	54953	-	YAL047C	65.5175490628543	1.23567992204555	21.4718478847894
YAL051W_crA	I	49900	50118	50009	51707	51798	+	YAL051W	24.0566045544208	0.706880947610091	25.7947445378491
YAL051W_crB	I	50410	50606	50508	51707	51798	+	YAL051W	50.2209189659156	1.04754026325438	25.7947445378491
YAL056W_crA	I	40751	40947	40849	41901	41968	+	YAL056W	46.4396096374109	0.741545199561323	21.6985497159011
YAL063C_crA	I	25460	25368	25414	23999	23999	-	YAL063C	40.0033679709627	3.5877345297562	40.5791180398104
YAL067C_crA	I	8394	8168	8281	7234	7275	-	YAL067C	3.22648725955153	0.94333690111604	18.8233342100732
YAL067C_crB	I	7851	7575	7713	7234	7275	-	YAL067C	7.35434659900497	1.07195663757857	18.8233342100732
YAR002W_crA	I	153074	153344	153209	153876	153989	+	YAR002W	41.7909608431245	0.0648607703100045	16.8466206133128
YAR007C_crA	I	157499	157413	157456	156753	156744	-	YAR007C	105.782612977489	0.870158304071079	17.2518461774876
YAR007C_crB	I	157349	157263	157306	156753	156744	-	YAR007C	70.3424154154325	1.38034159565524	17.2518461774876
YAR018C_crA	I	170891	170753	170822	170395	170231	-	YAR018C	46.9686123544287	0.598742963128547	17.2028055241601
YAR019C_crA	I	174124	174048	174086	172210	172163	-	YAR019C	27.3000467357701	0.842255107309243	20.0022678018118
YAR019C_crB	I	173747	173479	173613	172210	172163	-	YAR019C	22.1161341859642	1.09935709368527	20.0022678018118
YAR042W_crA	I	194600	195050	194825	196185	196261	+	YAR042W	174.793249728964	-0.224153725428208	17.0760734238061
YAR042W_crB	I	194849	195005	194927	196185	196261	+	YAR042W	NA	NA	17.0760734238061
YAR050W_crA	I	206257	206363	206310	208016	208016	+	YAR050W	44.829661499695	2.50987445347554	38.7362087902028
YBL005W_crA	II	218857	219289	219073	220400	220400	+	YBL005W	19.2017022366681	0.594058463133986	23.24278928687
YBL007C_crA	II	213413	213279	213346	212631	212472	-	YBL007C	217.894339057916	0.705522199384457	18.8736025178759
YBL008W_crA	II	211076	211252	211164	212175	212175	+	YBL008W	42.8082461266826	1.02852057138404	23.9746464834708
YBL009W_crA	II	208108	208330	208219	209224	209309	+	YBL009W	37.051767204996	0.335343685091923	16.3498472974953
YBL015W_crA	II	194770	194902	194836	195702	195860	+	YBL015W	75.18223175353	0.962916337494814	20.4176337390092
YBL015W_crB	II	194981	195093	195037	195702	195860	+	YBL015W	64.768629609677	1.12701854171278	20.4176337390092
YBL017C_crA	II	188641	188461	188551	186843	186775	-	YBL017C	59.7952839299254	0.265004298920378	17.1642226751123
YBL017C_crB	II	188252	187944	188098	186843	186775	-	YBL017C	108.581432659701	0.622017544668902	17.1642226751123
YBL019W_crA	II	185241	185331	185286	185915	185972	+	YBL019W	44.862383811627	1.02685852447578	20.9495918031431
YBL022C_crA	II	179858	179592	179725	177873	177791	-	YBL022C	47.09908662546	0.175293726201196	15.0133676787017
YBL022C_crB	II	179552	179396	179474	177873	177791	-	YBL022C	75.944704514466	0.364356014458308	15.0133676787017
YBL023C_crA	II	176173	176015	176094	174919	174935	-	YBL023C	33.2397769780306	0.780874336926089	23.4297703736382
YBL029W_crA	II	166896	166968	166932	167264	167356	+	YBL029W	24.5049021071898	0.784500897796482	16.0930624833288
YBL034C_crA	II	156219	155857	156038	153847	153735	-	YBL034C	20.5446027814873	0.793496656032958	27.0442878486296
YBL034C_crB	II	155560	155328	155444	153847	153735	-	YBL034C	43.4129515478974	1.15047222348983	27.0442878486296
YBL035C_crA	II	152539	152293	152416	151492	151231	-	YBL035C	28.5109631750088	0.453437942632389	16.5011304035759
YBL037W_crA	II	149091	149377	149234	150286	150380	+	YBL037W	34.1175732696896	0.752567795791797	22.1628012449503
YBL054W_crA	II	118604	118672	118638	119166	119166	+	YBL054W	100.423531640651	-0.86834908334714	19.7310504412585
YBL054W_crB	II	118704	118784	118744	119166	119166	+	YBL054W	31.7381866116214	-0.120912109393157	19.7310504412585
YBL060W_crA	II	108880	109062	108971	109995	109989	+	YBL060W	37.7917811397626	0.711065962959029	18.9519181390938
YBL060W_crB	II	109209	109391	109300	109995	109989	+	YBL060W	39.5447022029817	1.38207139049186	18.9519181390938
YBL066C_crA	II	98517	98235	98376	96668	96443	-	YBL066C	53.9234924489051	1.05451355932636	29.5740145338952
YBL085W_crA	II	65981	66237	66109	66818	66924	+	YBL085W	89.9035032931481	0.49446122191054	19.2607519259958
YBL088C_crA	II	54893	54627	54760	51018	50911	-	YBL088C	19.1019952959042	1.12824668121682	34.3903517821665
YBL088C_crB	II	54272	53840	54056	51018	50911	-	YBL088C	38.5874664818097	1.32378220783171	34.3903517821665
YBL101C_crA	II	26606	26456	26531	24945	24948	-	YBL101C	38.2617160073504	0.559545866377935	15.7735747210225
YBL101C_crB	II	26265	26201	26233	24945	24948	-	YBL101C	33.9259036045951	0.598763702988072	15.7735747210225
YBL106C_crA	II	12311	12071	12191	10846	10868	-	YBL106C	23.2455716192083	2.00513373333904	29.4333403246965
YBL106C_crB	II	11964	11724	11844	10846	10868	-	YBL106C	29.5257876674764	2.07188521047698	29.4333403246965
YBR007C_crA	II	249779	249603	249691	248805	248601	-	YBR007C	56.6000965272363	1.19431740086188	27.0189815947191
